Date,Year,Event,Category,Key Actors,Location,Description,Impact/Outcome
October 7 2023,2023,Hamas Attack on Israel,Trigger Event,Hamas / Iran-backed militias,Gaza & Israel,"Hamas launched a coordinated surprise offensive on Israel with 3000+ rockets and ~2500 militants breaching the Gaza-Israel barrier. Iran-backed groups celebrated the attacks.","Sparked the broader Middle East crisis; Iran's Axis of Resistance activated"
October 17 2023,2023,Iran-backed Militia Attacks Begin,Proxy Warfare,Iran-backed groups (Hezbollah / Iraqi militias / Houthis),Iraq / Syria / Lebanon,"Iran-backed proxy forces ramped up strikes on US and Israeli targets in Iraq and Syria; Hezbollah opened a northern Lebanon front; over 200 attacks in weeks.","170+ attacks on US military assets in Iraq, Syria, and Jordan between Oct 2023 – Feb 2024"
October 26 2023,2023,US Airstrikes on Iran-backed Facilities,US Military Action,United States,Iraq / Syria,"US ordered airstrikes on two Iran-backed facilities in retaliation for proxy attacks on US personnel and assets.",US signals willingness to hit Iranian proxies directly
November–December 2023,2023,Houthi Red Sea Campaign Begins,Proxy Warfare,Houthis (Yemen) / Iran,Red Sea,"Houthis began targeting international shipping lanes and Israeli-linked vessels in the Red Sea in solidarity with Gaza, escalating global trade disruption.","Major shipping disruption; triggered US-led naval coalition Operation Prosperity Guardian"
January 2024,2024,Jordan Tower 22 Attack,Proxy Warfare,Iran-backed Iraqi militias,Al-Tanf / Jordan,"Iran-backed militias struck a US military outpost in Jordan (Tower 22), killing 3 US service members and injuring dozens.","First US fatalities from proxy attacks; major escalation point"
February 2 2024,2024,US Retaliatory Strikes – Operation Inherent Resolve,US Military Action,United States,Iraq / Syria,"US launched airstrikes on 85 Iran-affiliated targets across Iraq and Syria in response to the Tower 22 attack.","Largest US retaliation against Iran-backed groups since 2003"
April 1 2024,2024,Israel Strikes Iranian Consulate in Damascus,Israeli Military Action,Israel,Damascus / Syria,"Israel bombed the Iranian consulate complex in Damascus, killing multiple senior Iranian Revolutionary Guard officers.","Iran vowed retaliation; major direct escalation"
April 13 2024,2024,Iran Launches First Direct Strike on Israel,Direct Iran–Israel Conflict,Iran / Houthis / Hezbollah,Israel,"Iran and its allies launched 300+ drones and ballistic missiles directly at Israel. Israeli defenses (with US support) intercepted most projectiles.","First ever direct Iranian strike on Israel; US directly helped Israel defend"
April 19 2024,2024,Israel Retaliatory Strike on Iran,Direct Israel–Iran Conflict,Israel,Isfahan / Iran,Israel launched limited retaliatory strikes targeting Iranian air defenses. Analysts described it as signaling a desire to de-escalate.,"Tensions cooled temporarily; conflict remained at proxy level for months"
October 2024,2024,Iran Fires 180 Ballistic Missiles at Israel,Direct Iran–Israel Conflict,Iran,Israel,"Following Israeli assassinations of Hamas and Hezbollah leaders, Iran launched 180 ballistic missiles against Israel.","Major escalation; Israel vowed and carried out strikes on Iranian air defenses and missile production facilities"
October–November 2024,2024,Israel Strikes Iranian Air Defenses & Missile Sites,Israeli Military Action,Israel,Iran,"Israel conducted its largest-ever direct attack on Iran, targeting air defense systems and missile production facilities.","Iran's air defenses significantly degraded; Hezbollah and Hamas leadership decimated"
Late 2024,2024,Assad Regime Falls in Syria,Geopolitical Shift,Syrian rebels / Iran / Russia,Syria,"The Bashar al-Assad regime collapsed, depriving Iran of a critical land corridor and strategic ally in its Axis of Resistance.","Iran's regional influence severely weakened; proxy network fragmented"
January 2025,2025,Trump Returns – Maximum Pressure Resumed,US Policy,Donald Trump / US Government,Washington D.C.,"President Trump restored maximum pressure economic sanctions campaign against Iran upon returning to office. Also initiated first direct US-Iran nuclear talks since 2018.","Dual track of pressure + diplomacy; Iran's economy further strained"
June 13 2025,2025,Twelve-Day War Begins – Israel Strikes Iran,Direct Military Conflict,Israel / United States / Iran / Houthis,Iran / Israel,"Israel launched a surprise attack targeting key Iranian military and nuclear facilities; included targeted assassinations of Iranian military leaders and nuclear scientists.","Iran's defenses and nuclear program significantly damaged"
June 15 2025,2025,Iran and Houthis Strike Israel Jointly,Direct Military Conflict,Iran / Houthis (IRGC),Israel / Red Sea,"Iran and the Houthis jointly struck Jaffa with long-range ballistic missiles — the first such joint Iran-militia strike directly inside Israel.","Marked major escalation; US joined Israeli air operations"
June 25 2025,2025,US Airstrikes on Iranian Nuclear Sites,US Military Action,United States,Iran,"The US conducted airstrikes aimed at destroying Iran's nuclear facilities during the Twelve-Day War, effectively joining Israel's military campaign.","Iran's nuclear program severely disrupted; 12-day war ended in ceasefire"
Late 2025,2025,Iran Protests Escalate,Domestic Crisis,Iranian civilians / Iranian security forces,Iran,"Largest protests in Iran since 1979 erupted over a weakened economy and crumbling infrastructure; Iranian security forces responded with extreme violence.","Regime's domestic legitimacy severely undermined"
January 2026,2026,Iran Massacres Civilian Protesters,Domestic Crisis / Human Rights,Iranian security forces,Iran,"Iranian security forces massacred thousands of civilians in cracking down on mass protests, drawing global condemnation.","Trump threatened military action; US began largest regional military buildup since 2003 Iraq invasion"
February 13 2026,2026,Trump Calls for Regime Change in Iran,US Political Action,Donald Trump,Washington D.C.,"Trump publicly stated regime change in Iran would be 'the best thing that could happen'. A day later US officials confirmed preparations for sustained military operations.","Set stage for military action; Iran alerted to imminent threat"
February 24 2026,2026,Trump State of the Union – Iran Nuclear Warning,US Political Action,Donald Trump,Washington D.C.,"Trump accused Iran of reviving nuclear weapons development and advancing missile capabilities threatening Europe and US bases. Warned the US was prepared to act.","Diplomatic ultimatum effectively issued to Iran"
February 25 2026,2026,Iran Claims Historic Nuclear Deal 'Within Reach',Diplomacy,Iran (Abbas Araghchi) / Oman mediators,Geneva / Oman,"Iranian FM Araghchi stated a 'historic' agreement to avert military conflict was within reach ahead of renewed talks in Geneva. Iran reiterated opposition to nuclear weapons.","Diplomatic window opened; ultimately failed to prevent strikes"
February 28 2026,2026,Operation Epic Fury – US & Israel Strike Iran,Direct Military Conflict,United States / Israel,Iran (Tehran and across country),"US and Israel launched nearly 900 strikes in 12 hours targeting Iranian missiles, air defenses, military infrastructure, and leadership. Supreme Leader Ali Khamenei was assassinated. Strikes occurred during active negotiations.","Iran's supreme leader killed; largest US-Israel joint operation in history"
February 28 – March 2026,2026,Iran Retaliates – Missile and Drone Strikes,Iranian Military Action,Iran / Hezbollah,Israel / US military bases / Arab Gulf States,"Iran responded to US-Israeli strikes with massive missile and drone barrages against Israel, US bases across the Middle East, and US-allied Gulf Arab states.","Widespread regional destabilization; GCC states targeted"
March 2026,2026,Iran Closes Strait of Hormuz,Economic Warfare,Iran,Strait of Hormuz / Persian Gulf,"Iran closed the Strait of Hormuz, through which ~20% of global oil supply passes, disrupting global trade and energy markets.","Global oil prices surged; US threatened 'extensive attacks' on Iranian energy infrastructure if not reopened by April 6"
March 8 2026,2026,Mojtaba Khamenei Appointed New Supreme Leader,Political Transition,Iran,Iran,"Following Ali Khamenei's assassination, Mojtaba Khamenei (his son) was selected as the new Supreme Leader of Iran.","Iran's political continuity maintained; regime did not collapse"
March 2026,2026,Iran Protests Regime – Internal Pressure Mounts,Domestic Crisis,Iranian civilians,Iran,"Widespread protests erupted inside Iran, motivated by economic collapse and weakened infrastructure following the strikes. Security forces used extensive force to suppress protests.","Regime faced deepest domestic legitimacy crisis in its history"
March–April 2026,2026,Trump Offers Talks – Sanctions-for-Enrichment Deal,Diplomacy,Donald Trump / Iran,Washington D.C. / Geneva,"Trump stated openness to talks: Iran ending all nuclear enrichment in exchange for full US sanctions relief. Iran denied formal talks while reportedly having conditions.","Conflict ongoing; ceasefire negotiations uncertain as of April 2026"
April 6 2026 (Deadline),2026,US Ultimatum – Reopen Strait of Hormuz,US Military Threat,Donald Trump / US Military,Persian Gulf,"Trump threatened extensive attacks on Iranian energy sites if Iran did not reopen the Strait of Hormuz by April 6 2026. More US troops ordered into region.","Strait status unresolved as of early April 2026; situation remains volatile"
